MARCA,MODELO,URL,PRECIO_LISTA,PRECIO_DESDE,PRECIO_BONO,legal_bono,FECHA_EXTRACCION
YAMAHA,YZ-85LW,https://www.yamahamotos.cl/producto/yz-85lw-2/,6.100.000,6.100.000,0,0,2023-02-28 11:24:29.250786
YAMAHA,YZF-R1,https://www.yamahamotos.cl/producto/r1/,21.390.000,21.390.000,0,0,2023-02-28 11:24:33.026997
YAMAHA,YZF-R15,https://www.yamahamotos.cl/producto/new-r15-v4/,4.390.000,3.990.000,0,400.000,2023-02-28 11:24:37.251684
YAMAHA,YZF-R3A,https://www.yamahamotos.cl/producto/r3-a/,6.290.000,5.890.000,0,400.000,2023-02-28 11:24:40.870908
YAMAHA,YZF-R7,https://www.yamahamotos.cl/producto/r7/,11.990.000,10.990.000,11.490.000,500.000,2023-02-28 11:24:44.310027
YAMAHA,WR-450F,https://www.yamahamotos.cl/producto/wr-450f/,9.669.000,9.669.000,0,0,2023-02-28 11:24:47.665907
YAMAHA,YZ-250,https://www.yamahamotos.cl/producto/yz-250/,0,7.800.000,0,0,2023-02-28 11:24:51.275528
YAMAHA,TENERE 700 TOURING,https://www.yamahamotos.cl/producto/tenere-700-touring/,0,14.740.000,0,0,2023-02-28 11:24:54.670691
YAMAHA,TRACER 9 GT,https://www.yamahamotos.cl/producto/tracer-900-gt/,14.990.000,14.990.000,0,0,2023-02-28 11:24:59.990722
YAMAHA,XSR-700,https://www.yamahamotos.cl/producto/xsr-700/,9.890.000,9.890.000,0,0,2023-02-28 11:25:03.860858
